id,label,atlas,rv,hr
271,RH_DorsAttnA_SPL_8,schaefer,0.297909139259458,0.281539324508326
272,RH_DorsAttnB_TempOcc_1,schaefer,0.276735389313558,0.23655508311086
273,RH_DorsAttnB_PostC_1,schaefer,0.332770170974589,0.266501050529814
274,RH_DorsAttnB_PostC_2,schaefer,0.271086635086773,0.220127845954158
275,RH_DorsAttnB_PostC_3,schaefer,0.269566804052043,0.244468728873202
276,RH_DorsAttnB_PostC_4,schaefer,0.275393552651965,0.236530632854684
277,RH_DorsAttnB_PostC_5,schaefer,0.27552318800789,0.248130947980697
278,RH_DorsAttnB_PostC_6,schaefer,0.297841536536899,0.289499683671044
279,RH_DorsAttnB_PostC_7,schaefer,0.261152527804275,0.278086554916711
280,RH_DorsAttnB_PostC_8,schaefer,0.274305508523655,0.279443478398649
281,RH_DorsAttnB_FEF_1,schaefer,0.317713189315521,0.272823673343575
282,RH_DorsAttnB_FEF_2,schaefer,0.24160936869449,0.217682105334
283,RH_DorsAttnB_FEF_3,schaefer,0.193079221808973,0.184373622080287
284,RH_SalVentAttnA_ParOper_1,schaefer,0.379033931572322,0.301479796510371
285,RH_SalVentAttnA_ParOper_2,schaefer,0.371122123017272,0.29194684379368
286,RH_SalVentAttnA_ParOper_3,schaefer,0.276160754803303,0.201546601754168
287,RH_SalVentAttnA_PrC_1,schaefer,0.328965410836897,0.267234301059672
288,RH_SalVentAttnA_Ins_1,schaefer,0.364555512002268,0.227080922958399
289,RH_SalVentAttnA_Ins_2,schaefer,0.366721758947404,0.253361591029625
290,RH_SalVentAttnA_Ins_3,schaefer,0.379603668541092,0.246910105776951
291,RH_SalVentAttnA_Ins_4,schaefer,0.335388288735026,0.250757555539921
292,RH_SalVentAttnA_FrOper_1,schaefer,0.326368399674325,0.251479926740267
293,RH_SalVentAttnA_FrOper_2,schaefer,0.384062478750628,0.299526285402483
294,RH_SalVentAttnA_FrOper_3,schaefer,0.309680769727978,0.215552375621738
295,RH_SalVentAttnA_FrMed_1,schaefer,0.36826116723611,0.290706864392084
296,RH_SalVentAttnA_ParMed_1,schaefer,0.330416847000159,0.248063848845912
297,RH_SalVentAttnA_ParMed_2,schaefer,0.348628217732905,0.27753961810906
298,RH_SalVentAttnA_FrMed_2,schaefer,0.341480187908701,0.252428009945298
299,RH_SalVentAttnA_ParMed_3,schaefer,0.313847747738385,0.26316563258781
300,RH_SalVentAttnA_ParMed_4,schaefer,0.289642554286794,0.250072865517529
301,RH_SalVentAttnA_FrMed_3,schaefer,0.340782075660378,0.288446564286151
302,RH_SalVentAttnA_FrMed_4,schaefer,0.290304393090475,0.214191378533616
303,RH_SalVentAttnB_IPL_1,schaefer,0.22161904123895,0.193961417673139
304,RH_SalVentAttnB_PFClv_1,schaefer,0.300221657205626,0.203515076409995
305,RH_SalVentAttnB_PFCl_1,schaefer,0.323900621120906,0.275678872555414
306,RH_SalVentAttnB_PFCl_2,schaefer,0.326930450569977,0.285944445990714
307,RH_SalVentAttnB_PFCl_3,schaefer,0.349705124158668,0.339183930825669
308,RH_SalVentAttnB_Ins_1,schaefer,0.279031399157951,0.166034683236191
309,RH_SalVentAttnB_Ins_2,schaefer,0.326050395864826,0.231380441852933
310,RH_SalVentAttnB_PFCmp_1,schaefer,0.396611303737345,0.305461642345149
311,RH_SalVentAttnB_PFCmp_2,schaefer,0.406313812829567,0.31591681403735
312,RH_LimbicB_OFC_1,schaefer,0.133283236979073,0.083421800965296
313,RH_LimbicB_OFC_2,schaefer,0.21935631883218,0.160968396956378
314,RH_LimbicB_OFC_3,schaefer,0.027393235631018,0.008142775634297
315,RH_LimbicB_OFC_4,schaefer,0.202052022996556,0.152093989326026
316,RH_LimbicB_OFC_5,schaefer,0.103066163319397,0.071292117702011
317,RH_LimbicB_OFC_6,schaefer,0.121419671892153,0.08726121529844
318,RH_LimbicA_TempPole_1,schaefer,0.330655280613313,0.22472333816145
319,RH_LimbicA_TempPole_2,schaefer,0.311550625464321,0.223234009611346
320,RH_LimbicA_TempPole_3,schaefer,0.289338277171014,0.195083225500464
321,RH_LimbicA_TempPole_4,schaefer,0.212665746807366,0.120211929440838
322,RH_LimbicA_TempPole_5,schaefer,0.237101537699621,0.159952274767196
323,RH_LimbicA_TempPole_6,schaefer,0.146422690113432,0.100320450177218
324,RH_ContA_IPS_1,schaefer,0.276818192065399,0.235217943722406
325,RH_ContA_IPS_2,schaefer,0.270663672096237,0.212999560017891
326,RH_ContA_IPS_3,schaefer,0.273937094668469,0.209924305944502
327,RH_ContA_IPS_4,schaefer,0.271947846105405,0.241802072495713
328,RH_ContA_PFCd_1,schaefer,0.285148720315867,0.248481726793158
329,RH_ContA_PFCl_1,schaefer,0.298483777962673,0.206141342167312
330,RH_ContA_PFCl_2,schaefer,0.299082760897021,0.217522415389809
331,RH_ContA_PFCl_3,schaefer,0.309390841391876,0.226623585208899
332,RH_ContA_PFCl_4,schaefer,0.281060174735282,0.205499575848329
333,RH_ContA_PFCl_5,schaefer,0.281760099172279,0.210510231326919
334,RH_ContA_Cingm_1,schaefer,0.262602835714666,0.168633229807508
335,RH_ContB_Temp_1,schaefer,0.249522693550609,0.188332550528811
336,RH_ContB_Temp_2,schaefer,0.264747050534335,0.213129881914314
337,RH_ContB_IPL_1,schaefer,0.325692555981003,0.232904525465682
338,RH_ContB_IPL_2,schaefer,0.288599863339213,0.209116536483352
339,RH_ContB_IPL_3,schaefer,0.289244680783217,0.213783704374633
340,RH_ContB_IPL_4,schaefer,0.292795135023428,0.235384320911463
341,RH_ContB_PFCld_1,schaefer,0.319859114433731,0.286871108407182
342,RH_ContB_PFCld_2,schaefer,0.326541299843408,0.248715160530513
343,RH_ContB_PFCld_3,schaefer,0.337203180940271,0.256069425797776
344,RH_ContB_PFCld_4,schaefer,0.285668916786908,0.24419530197481
345,RH_ContB_PFClv_1,schaefer,0.284575434827566,0.191001401146866
346,RH_ContB_PFClv_2,schaefer,0.256114232091841,0.200843178782789
347,RH_ContB_PFClv_3,schaefer,0.263774414955405,0.187223178653546
348,RH_ContB_PFClv_4,schaefer,0.328685026559476,0.295707721765363
349,RH_ContB_PFCmp_1,schaefer,0.357299294262831,0.21882806984194
350,RH_ContC_pCun_1,schaefer,0.249878608553706,0.220071911617767
351,RH_ContC_pCun_2,schaefer,0.33090416734256,0.308964344025737
352,RH_ContC_pCun_3,schaefer,0.249103402023101,0.243821384151379
353,RH_ContC_pCun_4,schaefer,0.273927603120054,0.24156473854917
354,RH_ContC_pCun_5,schaefer,0.336572491779481,0.302652167370398
355,RH_ContC_Cingp_1,schaefer,0.247020784179406,0.204397307731892
356,RH_ContC_Cingp_2,schaefer,0.354234425206995,0.283052654267111
357,RH_DefaultA_Temp_1,schaefer,0.224020593368815,0.192793666752965
358,RH_DefaultA_IPL_1,schaefer,0.282141039758348,0.224516907553943
359,RH_DefaultA_IPL_2,schaefer,0.270516621960937,0.206918796321325
360,RH_DefaultA_PFCd_1,schaefer,0.299453899465063,0.282613581723614
361,RH_DefaultA_PFCd_2,schaefer,0.277617672169151,0.240256432782386
362,RH_DefaultA_pCunPCC_1,schaefer,0.178259207088518,0.181243889703972
